ISIN,name,ticker,bourso_symbol
FR0000130577p,Publicis Groupe,PUB,1rPPUB
FR0000130692p,Chargeurs,CRI,1rPCRI
FR0000130809p,Societe Generale,GLE,1rPGLE
FR0000131104p,Bnp Paribas,BNP,1rPBNP
FR0000131757p,Eramet,ERA,1rPERA
FR0000131906p,Renault,RNO,1rPRNO
FR0000133308p,Orange,ORA,1rPORA
FR0000184798p,Orpea,ORP,1rPORP
FR0004007813p,Kaufman Et Broad,KOF,1rPKOF
FR0004024222p,Interparfums,ITP,1rPITP
FR0004026151p,Itesoft,ITE,1rPITE
FR0004034072p,Xilam Animation,XIL,1rPXIL
FR0004038263p,Parrot,PARRO,1rPPARRO
FR0004040608p,Abc Arbitrage,ABCA,1rPABCA
FR0004056851p,Valneva,VLA,1rPVLA
FR0004065605p,Medincell,MEDCL,1rPMEDCL
FR0004125920p,Amundi,AMUN,1rPAMUN
FR0004155000p,Groupe Sfpi,SFPI,1rPSFPI
FR0004156297p,Linedata Services,LIN,1rPLIN
FR0004163111p,Genfit,GNFT,1rPGNFT
FR0004170017p,LNA Sante,LNA,1rPLNA
FR0004177046p,Metabolic Explorer,METEX,1rPMETEX
FR0004180578p,Sword Group,SWP,1rPSWP
FR0004186856p,Vetoquinol,VETO,1rPVETO
FR0005175080p,Transgene,TNG,1rPTNG
FR0005691656p,Trigano,TRI,1rPTRI
FR0006174348p,Bureau Veritas,BVI,1rPBVI
FR0007317813p,CS Group,SX,1rPSX
FR0010040865p,Gecina Nom.,GFC,1rPGFC
FR0010112524p,Nexity,NXI,1rPNXI
FR0010151589p,Cafom,CAFO,1rPCAFO
FR0010193052p,Catana Group,CATG,1rPCATG
FR0010193979p,CBO Territoria,CBOT,1rEPCBOT
FR0010208488p,Engie,ENGI,1rPENGI
FR0010220475p,Alstom,ALO,1rPALO
FR0010221234p,Eutelsat Com.,ETL,1rPETL
FR0010241638p,Mercialys,MERY,1rPMERY
FR0010242511p,EDF,EDF,1rPEDF
FR0010259150p,Ipsen,IPN,1rPIPN
FR0010263202p,Paref,PAR,1rPPAR
FR0010282822p,SES Imagotag,SESL,1rPSESL
FR0010291245p,Verimatrix,VMX,1rPVMX
FR0010298620p,Memscap,MEMS,1u0NYT.L
FR0010307819p,Legrand SA,LR,1rPLR
FR0010313833p,Arkema,AKE,1rPAKE
FR0010331421p,Innate Pharma,IPH,1rPIPH
FR0010340141p,Adp,ADP,2u0NP8.LQ
FR0010386334p,Korian,KORI,1rPKORI
FR0010411983p,Scor,SCR,1rPSCR
FR0010417345p,Dbv Technologies,DBV,1rPDBV
FR0010428771p,OL Groupe,OLG,1rPOLG
FR0010451203p,Rexel,RXL,1rPRXL
FR0010478248p,Atari,ALATA,1rPALATA
FR0010501692p,Generix,GENX,
FR0010533075p,Getlink,GET,1rPGET
FR0010557264p,Ab Science,AB,1rPAB
FR0010609206p,Orege,OREGE,1rPOREGE
FR0010609263p,Mauna Kea Tech,MKEA,1rPMKEA
FR0010667147p,Coface,COFA,1rPCOFA
FR0010828137p,Carmila,CARM,1rPCARM
FR0010908533p,Edenred,EDEN,1rPEDEN
FR0010929125p,ID Logistics,IDL,1rPIDL
FR0011184241p,Adocia,ADOC,1rPADOC
FR0011271600p,Fermentalg,FALG,1rPFALG
FR0011277391p,Myhotelmatch,MHM,1rPMHM
FR0011289040p,SQLI,SQI,1rPSQI
FR0011341205p,Nanobiotix,NANO,1rPNANO
FR0011466069p,Ekinops,EKI,1rPEKI
FR0011471135p,Erytech Pharma,ERYP,1rPERYP
FR0011476928p,Fnac Darty,FNAC,1rPFNAC
FR0011665280p,Figeac Aero,FGA,1rPFGA
FR0011675362p,Neoen,NEOEN,1rPNEOEN
FR0011726835p,GTT,GTT,1rPGTT
FR0011742329p,McPhy Energy,MCPHY,1rPMCPHY
FR0011799907p,Genomic Vision,GV,1rPGV
FR0011950682p,Sergeferrari Group,SEFER,1rPSEFER
FR0011950732p,Elior Group,ELIOR,1rPELIOR
FR0011981968p,Worldline,WLN,1rPWLN
FR0011995588p,Voltalia,VLTSA,1rPVLTSA
FR0012127173p,Ose Immunotherapeutics,OSE,1rPOSE
FR0012333284p,Abivax,ABVX,1rPABVX
FR0012432516p,Poxel,POXEL,1rPPOXEL
FR0012435121p,Elis,ELIS,1rPELIS
FR0012613610p,Prodways Group,PWG,1rPPWG
FR0012616852p,Abionyx Pharma,ABNX,1rPABNX
FR0012757854p,Spie,SPIE,1rPSPIE
FR0012821890p,Adux,ADUX,1rPHIM
FR0012882389p,Equasens,EQS,1rPEQS
FR0013006558p,Showroomprive,SRP,1rPSRP
FR0013018041p,Navya,NAVYA,1rPNAVYA
FR0013018124p,Nicox,COX,1rPCOX
FR0013030152p,Francaise de l’Energie,FDE,1rPFDE
FR0013153541p,Maisons du Monde,MDM,1rPMDM
FR0013154002p,Sartorius Stedim Biotech,DIM,1rPDIM
FR0013176526p,Valeo,FR,1rPFR
FR0013181864p,CGG,CGG,1rPCGG
FR0013183589p,Aures Technologies,AURS,1rPAURS
FR0013183985p,GenSight Biologics,SIGHT,1rPSIGHT
FR0013185857p,Abeo,ABEO,1rPABEO
FR0013199916p,Somfy Intl,SO,1rPSO
FR0013214145p,Smcp,SMCP,1rPSMCP
FR0013227113p,Soitec Silicon,SOI,1rPSOI
FR0013233012p,Inventiva,IVA,1rPIVA
FR0013233475p,Lysogene,LYS,1rPLYS
FR0013252186p,Plast. Val de Loire,PVL,1rPPVL
FR0013258399p,Balyo,BALYO,1rPBALYO
FR0013258662p,Ald,ALD,1rPALD
FR0013269123p,Rubis,RUI,1rPRUI
FR0013280286p,Biomerieux,BIM,1rPBIM
FR0013326246p,Unibail Rodamco Wes,URW,1rAURW
FR0013341781p,2crsi,AL2SI,1rPAL2SI
FR0013357621p,Wavestone,WAVE,1rPWAVE
FR0013379484p,Solutions 30,S30,1rPS30
FR0013426004p,Claranova,CLA,1rPCLA
FR0013447729p,Verallia,VRLA,1rPVRLA
FR0013451333p,La Francaise des jeux,FDJ,1rPFDJ
FR0013455482p,Atland,ATLD,1rPATLD
FR0013482791p,Nacon,NACON,1rPNACON
FR0013505062p,Vantiva,VANTI,1rPVANTI
FR0013506730p,Vallourec,VK,1rPVK
FR0013529815p,Avenir Telecom,AVT,
FR00140006O9p,Solocal Group,LOCAL,1rPLOCAL
FR0014000MR3p,Eurofins Scient.,ERF,1rPERF
FR0014003FE9p,Believe,BLV,1rPBLV
FR0014003TT8p,Dassault Systemes,DSY,1rPDSY
FR0014003U94p,Aramis Group,ARAMI,1rPARAMI
FR0014003VY4p,HDF (Hydrogene de France),HDF,1rPHDF
FR0014004L86p,Dassault Aviation,AM,1rPAM
FR0014005AL0p,Antin infra Partn,ANTIN,1rPANTIN
FR0014005HJ9p,OVH,OVH,1rPOVH
FR0014005SB3p,Forsee Power,FORSE,1rPFORSE
FR0014008VX5p,Euroapi,EAPI,1rPEAPI
FR001400AJ45p,Michelin,ML,1rPML
FR001400BMH7p,Teract,TRACT,1rPTRACT
LU0088087324p,SES Sa,SESG,1rPSESG
LU0569974404p,Aperam,APAM,1rAAPAM
LU1598757687p,Arcelor Mittal,MT,1rAMT
NL0000226223p,Stmicroelectronics,STM,1rPSTM
NL0000235190p,Airbus,AIR,1rPAIR
NL0006294274p,Euronext,ENX,1rPENX
NL0014559478p,Technip Energies,TE,1rPTE
NL00150001Q9p,Stellantis,STLA,1rPSTLA
BE0003470755g,Solvay,SOLB,1rPSOLB
BE0003470755g,Solvay,SOLB,1rPSOLB
FR0000054470p,Ubisoft Entertainment,UBI,1rPUBI
FR0000120404p,Accor Hotels,AC,1rPAC
FR0000121147p,Faurecia,EO,1rPEO
FR0000121220p,Sodexo,SW,1rPSW
FR0000121964p,Klepierre,LI,1rPLI
FR0000130395p,Remy Cointreau,RCO,1rPRCO
FR0000130452p,Eiffage,FGR,1rPFGR
FR0006174348p,Bureau Veritas,BVI,1rPBVI
FR0010040865p,Gecina Nom.,GFC,1rPGFC
FR0010242511p,EDF,EDF,1rPEDF
FR0010313833p,Arkema,AKE,1rPAKE
FR0010340141p,Adp,ADP,2u0NP8.LQ
FR0010451203p,Rexel,RXL,1rPRXL
FR0010533075p,Getlink,GET,1rPGET
FR0010908533p,Edenred,EDEN,1rPEDEN
FR0013154002p,Sartorius Stedim Biotech,DIM,1rPDIM
FR0013176526p,Valeo,FR,1rPFR
FR0013280286p,Biomerieux,BIM,1rPBIM
NL0006294274p,Euronext,ENX,1rPENX
BE0974310428p,X-Fab,XFAB,1rPXFAB
CH0308403085p,GeNeuro,GNRO,1rPGNRO
FR0000031775p,Vicat,VCT,1rPVCT
FR0000032278p,Latecoere,LAT,1rPLAT
FR0000032526p,Guerbet,GBT,1rPGBT
FR0000033003p,Touax,TOUP,1rPTOUP
FR0000033904p,Jacquet Metals,JCQ,1rPJCQ
FR0000034548p,Union Fin.France,UFF,1rPUFF
FR0000035164p,Beneteau,BEN,1rPBEN
FR0000035370p,Bastide Le Confort,BLC,1rPBLC
FR0000038242p,Lumibird,LBIRD,1rPLBIRD
FR0000038606p,Manitou Bf,MTU,1rPMTU
FR0000039091p,Robertet,RBT,1rPRBT
FR0000039109p,Seche Environnement,SCHP,1rPSCHP
FR0000039232p,Aurea,AURE,1rPAURE
FR0000039620p,Mersen,MRN,1rPMRN
FR0000050353p,Lisi,FII,1rPFII
FR0000051070p,Maurel Et Prom,MAU,1rPMAU
FR0000052516p,Vilmorin Cie,RIN,1rPRIN
FR0000053027p,Akwel,AKW,1rPAKW
FR0000053324p,Alpes (compagnie),CDA,1rPCDA
FR0000053506p,Cegedim,CGM,1rPCGM
FR0000054231p,High Co,HCO,1rPHCO
FR0000054322p,Cibox Inter A Ctiv,ALCIB,1rPALCIB
FR0000061129p,Boiron,BOI,1rPBOI
FR0000061459p,Gerard Perrier Industrie,PERR,1rPPERR
FR0000062671p,Exail technologies,EXA,1rPEXA
FR0000062796p,Vranken Monopole,VRAP,1rPVRAP
FR0000062978p,Dekuple,DKUPL,1rPDKUPL
FR0000063737p,Aubay,AUB,1rPAUB
FR0000063935p,Bonduelle,BON,1rPBON
FR0000064446p,CIS (Catering Intl Sces),ALCIS,1rPALCIS
FR0000064784p,Peugeot Invest,PEUG,1rPPEUG
FR0000065278p,Hopscotch Groupe,ALHOP,1rPALHOP
FR0000065971p,Graines Voltz,GRVO,1rPGRVO
FR0000066607p,Lacroix Industries,LACR,1rPLACR
FR0000066672p,Gl Events,GLO,1rPGLO
FR0000066722p,Guillemot,GUI,1rPGUI
FR0000066755p,Haulotte Group,PIG,1rPPIG
FR0000072373p,Egide,ALGID,1rPALGID
FR0000072894p,Cast,CAS,
FR0000073041p,Pierre Vacances,VAC,1rPVAC
FR0000074072p,Bigben Interactive,BIG,1rPBIG
FR0000074122p,Sii,SII,1rPSII
FR0000074148p,Assystem,ASY,1rPASY
FR0000074783p,Artmarket.com,PRC,1rPPRC
FR0000075392p,Orapi,ORAP,1rPORAP
FR0000076655p,Actia Group,ATI,1rPATI
FR0000076861p,Acteos,EOS,1rPEOS
FR0000077570p,Micropole,ALMIC,1rPALMIC
FR0000120560p,Quadient,QDT,1rPQDT
FR0000120669p,Esso,ES,1rPES
FR0000130213p,Lagardere,MMB,1rPMMB
FR0000130692p,Chargeurs,CRI,1rPCRI
FR0004007813p,Kaufman Et Broad,KOF,1rPKOF
FR0004026151p,Itesoft,ITE,1rPITE
FR0004034072p,Xilam Animation,XIL,1rPXIL
FR0004038263p,Parrot,PARRO,1rPPARRO
FR0004040608p,Abc Arbitrage,ABCA,1rPABCA
FR0004065605p,Medincell,MEDCL,1rPMEDCL
FR0004155000p,Groupe Sfpi,SFPI,1rPSFPI
FR0004156297p,Linedata Services,LIN,1rPLIN
FR0004163111p,Genfit,GNFT,1rPGNFT
FR0004170017p,LNA Sante,LNA,1rPLNA
FR0004177046p,Metabolic Explorer,METEX,1rPMETEX
FR0004180578p,Sword Group,SWP,1rPSWP
FR0004186856p,Vetoquinol,VETO,1rPVETO
FR0005175080p,Transgene,TNG,1rPTNG
FR0007317813p,CS Group,SX,1rPSX
FR0010151589p,Cafom,CAFO,1rPCAFO
FR0010193052p,Catana Group,CATG,1rPCATG
FR0010193979p,CBO Territoria,CBOT,1rEPCBOT
FR0010263202p,Paref,PAR,1rPPAR
FR0010291245p,Verimatrix,VMX,1rPVMX
FR0010298620p,Memscap,MEMS,1u0NYT.L
FR0010331421p,Innate Pharma,IPH,1rPIPH
FR0010417345p,Dbv Technologies,DBV,1rPDBV
FR0010428771p,OL Groupe,OLG,1rPOLG
FR0010478248p,Atari,ALATA,1rPALATA
FR0010501692p,Generix,GENX,
FR0010557264p,Ab Science,AB,1rPAB
FR0010609206p,Orege,OREGE,1rPOREGE
FR0010609263p,Mauna Kea Tech,MKEA,1rPMKEA
FR0010929125p,ID Logistics,IDL,1rPIDL
FR0011184241p,Adocia,ADOC,1rPADOC
FR0011271600p,Fermentalg,FALG,1rPFALG
FR0011277391p,Myhotelmatch,MHM,1rPMHM
FR0011289040p,SQLI,SQI,1rPSQI
FR0011341205p,Nanobiotix,NANO,1rPNANO
FR0011466069p,Ekinops,EKI,1rPEKI
FR0011471135p,Erytech Pharma,ERYP,1rPERYP
FR0011665280p,Figeac Aero,FGA,1rPFGA
FR0011799907p,Genomic Vision,GV,1rPGV
FR0011950682p,Sergeferrari Group,SEFER,1rPSEFER
FR0011995588p,Voltalia,VLTSA,1rPVLTSA
FR0012127173p,Ose Immunotherapeutics,OSE,1rPOSE
FR0012333284p,Abivax,ABVX,1rPABVX
FR0012432516p,Poxel,POXEL,1rPPOXEL
FR0012613610p,Prodways Group,PWG,1rPPWG
FR0012616852p,Abionyx Pharma,ABNX,1rPABNX
FR0012821890p,Adux,ADUX,1rPHIM
FR0012882389p,Equasens,EQS,1rPEQS
FR0013006558p,Showroomprive,SRP,1rPSRP
FR0013018041p,Navya,NAVYA,1rPNAVYA
FR0013018124p,Nicox,COX,1rPCOX
FR0013030152p,Francaise de l’Energie,FDE,1rPFDE
FR0013153541p,Maisons du Monde,MDM,1rPMDM
FR0013183589p,Aures Technologies,AURS,1rPAURS
FR0013183985p,GenSight Biologics,SIGHT,1rPSIGHT
FR0013185857p,Abeo,ABEO,1rPABEO
FR0013214145p,Smcp,SMCP,1rPSMCP
FR0013233012p,Inventiva,IVA,1rPIVA
